SampleID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
1,4,4,3,4,3,5,2,1,2,2,4,4
2,6,7,4,2,1,1,7,7,1,2,2,2
3,4,5,5,5,6,6,2,2,7,5,7,7
4,3,2,2,2,2,2,3,2,3,3,2,2
5,7,3,5,2,2,5,5,4,3,3,2,2
6,5,2,3,2,4,3,3,3,4,5,1,1
7,3,3,3,3,3,2,5,2,5,7,5,4
8,7,6,6,6,5,3,3,2,5,3,2,2
9,7,7,7,6,6,7,6,7,6,6,5,5
10,2,2,2,3,3,4,3,4,3,2,4,5
11,4,6,5,2,6,5,4,5,6,5,7,7
12,3,5,4,5,5,3,5,5,5,7,5,4
13,3,3,3,3,2,2,3,3,5,7,5,6
14,1,1,1,6,3,4,2,1,7,7,3,3
15,7,7,7,7,2,1,5,4,2,2,1,1
16,3,5,2,7,7,6,3,5,5,3,4,4
17,3,2,4,3,4,3,3,2,3,2,5,4
18,2,2,4,1,4,4,3,3,6,5,3,3
19,7,7,7,7,6,4,5,4,6,6,4,3
20,3,5,5,3,5,4,3,7,3,4,3,3
21,7,6,6,6,4,5,6,6,3,2,4,4
22,4,2,2,3,2,2,2,4,2,2,1,1
23,1,2,4,4,6,6,3,3,4,6,7,7
24,4,3,4,2,2,2,6,6,2,3,4,3
25,6,7,6,6,5,4,6,5,3,4,4,3
26,7,7,6,7,7,6,6,6,7,7,2,3
27,6,7,7,7,5,4,7,4,7,4,4,4
28,7,7,6,5,5,4,4,3,6,6,5,6
29,3,4,4,7,6,5,3,3,6,6,7,7
30,7,7,7,6,7,7,7,7,7,7,7,7
31,5,4,6,7,5,6,3,3,6,5,5,6
32,3,4,3,5,2,3,3,4,5,3,3,2
33,5,4,2,7,5,5,3,3,7,7,7,7
34,6,5,6,5,2,2,7,6,2,1,3,4
35,3,3,3,2,3,3,4,4,4,4,4,4
36,2,1,3,2,3,2,1,2,3,2,2,2
37,2,2,2,2,2,4,3,2,3,5,6,7
38,1,2,2,2,2,2,2,4,6,6,6,6
39,3,3,3,2,3,4,5,6,2,2,2,2
40,2,2,2,4,4,3,2,3,4,4,3,3
41,5,4,4,4,2,2,4,3,1,1,2,2
42,1,1,1,1,1,1,3,1,1,2,5,4
43,4,3,5,5,6,7,2,2,7,7,7,7
44,5,3,4,1,5,6,2,1,5,6,7,6
45,2,2,1,3,1,2,4,7,2,2,2,3
46,6,6,6,6,2,3,6,5,4,6,4,3
47,7,5,5,7,5,5,7,7,6,5,2,2
48,7,6,7,7,4,4,7,4,2,2,4,5
49,7,7,7,7,7,6,6,7,6,4,2,2
50,1,2,3,2,2,2,5,5,3,5,3,3
51,7,7,7,6,3,5,7,7,3,4,4,4
52,4,4,5,4,4,5,4,6,6,7,6,6
53,4,3,3,2,6,3,3,4,2,4,5,5
54,4,7,6,2,7,7,4,6,4,6,7,7
55,6,4,4,7,5,5,3,7,4,6,3,3
56,5,3,5,5,7,7,5,5,7,7,6,6
57,7,6,5,7,5,4,7,6,7,7,6,7
58,7,6,6,4,4,5,5,3,4,5,5,4
59,5,5,4,6,7,7,4,3,7,7,7,7
60,7,6,5,6,7,7,7,7,6,6,6,5
61,7,6,7,4,7,7,5,5,4,4,4,4
62,6,4,3,6,4,3,3,2,5,6,5,5
63,1,2,1,3,2,2,3,4,2,3,4,4
64,7,7,7,7,7,7,6,5,6,7,7,7
65,6,6,3,2,4,4,3,4,3,2,2,2
66,5,5,6,5,2,5,7,7,3,5,3,3
67,6,7,6,6,6,5,7,6,6,6,5,6
68,3,3,5,2,2,3,2,4,3,4,6,6
69,2,2,1,1,2,3,3,3,2,2,6,6
70,6,5,5,2,5,4,3,6,3,4,5,5
71,2,2,3,2,3,3,5,6,4,4,3,4
72,2,2,4,2,1,1,4,3,3,2,2,2
73,7,6,7,7,7,6,7,7,6,7,7,7
74,7,7,6,7,7,7,7,7,7,6,7,7
75,6,7,7,4,6,5,6,7,4,6,5,5
76,4,6,4,7,7,7,6,6,6,7,6,6
77,2,2,2,3,2,2,5,4,2,2,5,4
78,6,4,6,7,4,5,2,4,7,7,7,7
79,7,7,7,5,7,7,6,5,7,6,5,6
80,5,5,5,2,3,4,3,6,4,5,3,3
81,4,5,6,6,5,6,5,6,3,5,4,4
82,7,7,5,2,2,3,6,7,1,1,2,2
83,3,4,4,2,6,7,3,4,5,6,6,6
84,5,3,2,4,4,4,2,3,5,7,5,5
85,4,4,4,4,7,7,2,3,7,7,7,7
86,4,5,7,7,4,4,7,5,6,4,4,5
87,2,2,2,2,2,2,7,7,1,3,3,2
88,3,2,1,2,1,2,6,3,5,6,3,3
89,2,4,4,5,4,3,4,4,4,2,2,2
90,3,5,3,5,7,6,5,7,4,3,5,6
91,2,2,2,2,4,4,4,3,5,6,3,3
92,7,7,6,6,5,4,7,6,3,3,4,3
93,2,2,3,7,5,6,1,3,6,6,6,6
94,4,5,2,6,6,6,5,6,5,3,5,5
95,6,7,7,7,7,6,7,7,7,6,5,5
96,6,4,3,3,2,2,6,6,1,1,2,2
97,2,2,2,6,6,6,4,5,5,5,6,6
98,4,7,7,4,5,4,4,5,2,2,4,4
99,7,7,7,7,6,5,5,4,5,5,6,6
100,3,4,2,4,2,2,3,2,4,3,2,2
101,7,7,5,6,3,3,7,6,2,2,2,2
102,6,4,3,6,5,5,5,5,6,5,5,6
103,4,6,4,3,5,4,6,7,5,5,6,7
104,4,5,6,6,3,3,2,3,2,4,3,3
105,3,2,6,5,5,5,3,4,6,3,4,5
106,6,5,6,2,2,2,6,6,2,2,2,2
107,7,6,4,6,1,3,6,4,2,2,5,4
108,4,4,4,7,3,4,5,4,7,7,5,5
109,4,5,4,3,4,2,2,2,2,2,2,2
110,5,4,5,6,3,3,5,4,7,7,6,6
111,6,6,5,6,7,7,6,6,7,7,5,5
112,3,5,3,7,7,7,5,5,7,7,7,7
113,6,5,6,4,5,5,5,3,5,3,2,2
114,5,5,6,4,7,7,4,3,5,4,4,4
115,5,3,5,2,3,2,4,4,3,2,3,3
116,7,5,3,3,3,3,6,5,6,6,3,3
117,2,3,2,6,7,7,2,4,7,7,7,7
118,7,6,7,7,6,7,3,4,7,7,6,6
119,4,1,3,2,2,3,2,3,2,2,7,6
120,7,7,5,6,7,6,6,7,7,7,7,7
121,6,4,5,5,3,3,5,2,2,3,2,3
122,2,1,3,1,1,3,5,4,3,3,2,2
123,6,7,7,7,7,6,5,7,7,6,3,3
124,4,4,4,4,2,2,6,5,3,4,4,4
125,1,2,2,3,6,5,2,5,5,6,3,3
126,4,3,4,5,3,4,3,4,6,6,5,4
127,4,5,5,4,3,6,3,3,4,3,5,4
128,1,2,2,2,3,4,3,3,5,6,7,6
129,5,5,3,6,1,1,7,3,1,2,2,2
130,5,6,5,4,3,2,7,7,4,3,3,3
131,5,6,5,3,4,5,5,6,4,6,5,6
132,5,6,4,4,3,2,5,4,3,4,2,3
133,6,7,5,4,6,5,6,7,7,7,6,6
134,4,4,4,5,6,5,6,5,5,6,6,5
135,7,4,5,3,2,3,5,4,4,5,2,2
136,5,6,4,4,3,6,7,7,6,6,3,4
137,6,4,7,4,6,5,2,4,2,2,5,5
138,6,5,5,6,6,5,3,6,5,3,4,3
139,7,6,6,4,3,5,5,4,4,3,4,4
140,3,3,3,4,4,4,5,4,6,7,4,4
141,2,2,2,1,4,4,4,5,5,6,5,6
142,5,7,6,4,3,4,6,4,3,3,5,4
143,7,7,7,6,3,4,7,7,4,4,3,3
144,3,3,2,1,5,3,6,6,4,5,4,4
145,6,5,6,4,4,2,6,5,5,4,3,4
146,2,1,3,2,2,4,3,2,4,2,3,3
147,3,4,3,2,2,2,3,3,1,2,2,2
148,6,4,5,3,6,6,3,5,5,5,4,4
149,2,1,1,2,1,1,5,3,2,4,2,2
150,7,7,7,4,4,5,7,7,4,5,2,3
151,5,6,6,3,3,3,5,2,2,2,1,1
152,3,5,2,5,3,2,5,6,4,2,3,3
153,5,5,3,1,2,2,6,7,2,2,2,2
154,6,7,4,3,6,6,6,5,5,6,6,6
155,7,5,6,5,6,5,5,5,7,7,5,6
156,5,3,4,3,3,4,4,5,6,6,4,4
157,1,2,2,2,3,4,2,2,5,5,6,6
158,3,3,2,4,3,5,6,6,4,5,3,4
159,1,1,1,1,1,1,2,2,2,2,2,1
160,6,6,4,6,6,7,6,5,7,7,6,7
161,5,4,5,5,6,7,5,3,7,7,6,6
162,3,2,3,2,3,3,2,2,1,2,6,4
163,5,6,3,6,7,6,4,5,5,4,5,6
164,3,5,2,5,3,2,7,7,2,2,4,5
165,4,2,2,2,1,2,4,5,2,2,2,2
166,3,2,4,5,4,3,5,3,5,6,6,6
167,2,2,3,2,2,2,2,2,2,3,3,2
168,7,7,7,6,7,7,2,2,7,6,7,7
169,7,5,6,3,7,6,6,5,4,5,5,4
170,7,7,7,7,6,5,3,5,6,7,5,6
171,7,7,7,6,7,7,5,5,7,7,7,7
172,4,5,5,7,4,3,4,2,5,6,3,4
173,2,1,3,1,5,5,1,2,4,5,7,7
174,5,7,4,7,4,6,4,5,7,5,5,5
175,3,4,4,5,1,2,6,5,1,1,1,1
176,2,4,6,3,5,3,2,2,3,5,6,6
177,3,3,2,6,4,4,3,4,5,3,4,3
178,1,2,1,5,3,4,2,4,7,6,4,5
179,3,6,4,5,2,2,4,4,3,2,2,2
180,4,2,4,1,4,3,4,2,2,3,1,2
181,2,1,1,5,2,2,2,2,3,3,4,4
182,7,7,5,6,5,3,6,6,3,6,3,3
183,4,5,6,7,5,5,6,5,4,5,3,3
184,7,6,7,3,3,3,6,6,4,3,2,2
185,7,5,5,7,6,6,6,6,6,6,5,4
186,4,3,5,3,7,7,3,2,7,7,7,7
187,3,2,3,3,5,4,3,2,4,4,5,4
188,2,3,4,6,5,5,2,5,3,4,7,7
189,5,5,6,6,2,2,2,3,4,5,3,3
190,7,7,7,7,4,4,7,6,7,7,6,6
191,6,6,7,7,3,2,2,2,2,1,2,2
192,6,6,7,7,6,6,3,4,4,3,3,3
193,6,7,7,7,5,6,7,7,7,7,5,5
194,6,5,4,2,4,5,3,2,5,6,5,6
195,7,6,5,2,3,6,3,3,3,2,5,5
196,4,6,5,6,7,6,5,4,3,4,7,7
197,5,5,7,4,7,7,4,2,3,4,7,6
198,7,7,7,5,7,7,3,4,4,4,4,4
199,3,4,6,3,6,6,5,3,6,5,4,5
200,6,6,4,3,5,6,6,4,5,4,3,3
